X,Y,walkability
9454629.14405693,7652050.97043839,0
9454629.14405693,7652045.97043839,0
9454629.14405693,7652040.97043839,0
9454629.14405693,7652035.97043839,0
9454629.14405693,7652030.97043839,0
9454629.14405693,7652025.97043839,0
9454629.14405693,7652020.97043839,0
9454629.14405693,7652015.97043839,0
9454629.14405693,7652010.97043839,0
9454629.14405693,7652005.97043839,0
9454629.14405693,7652000.97043839,0
9454629.14405693,7651995.97043839,0
9454629.14405693,7651990.97043839,0
9454629.14405693,7651985.97043839,0
9454629.14405693,7651980.97043839,0
9454629.14405693,7651975.97043839,0
9454629.14405693,7651970.97043839,0
9454629.14405693,7651965.97043839,0
9454629.14405693,7651960.97043839,0
9454629.14405693,7651955.97043839,0
9454629.14405693,7651950.97043839,0
9454629.14405693,7651945.97043839,0
9454629.14405693,7651940.97043839,0
9454629.14405693,7651935.97043839,0
9454629.14405693,7651930.97043839,0
9454629.14405693,7651925.97043839,0
9454629.14405693,7651920.97043839,0
9454629.14405693,7651915.97043839,0
9454629.14405693,7651910.97043839,0
9454629.14405693,7651905.97043839,0
9454629.14405693,7651900.97043839,0
9454629.14405693,7651895.97043839,0
9454629.14405693,7651890.97043839,0
9454629.14405693,7651885.97043839,0
9454629.14405693,7651880.97043839,0
9454629.14405693,7651875.97043839,0
9454629.14405693,7651870.97043839,0
9454629.14405693,7651865.97043839,0
9454629.14405693,7651860.97043839,0
9454629.14405693,7651855.97043839,0
9454629.14405693,7651850.97043839,0
9454629.14405693,7651845.97043839,0
9454629.14405693,7651840.97043839,0
9454629.14405693,7651835.97043839,0
9454629.14405693,7651830.97043839,0
9454629.14405693,7651825.97043839,0
9454629.14405693,7651820.97043839,0
9454629.14405693,7651815.97043839,0
9454629.14405693,7651810.97043839,0
9454629.14405693,7651805.97043839,0
9454629.14405693,7651800.97043839,0
9454629.14405693,7651795.97043839,0
9454629.14405693,7651790.97043839,0
9454629.14405693,7651785.97043839,0
9454629.14405693,7651780.97043839,0
9454629.14405693,7651775.97043839,0
9454629.14405693,7651770.97043839,0
9454629.14405693,7651765.97043839,0
9454629.14405693,7651760.97043839,0
9454629.14405693,7651755.97043839,0
9454629.14405693,7651750.97043839,0
9454629.14405693,7651745.97043839,0
9454629.14405693,7651740.97043839,0
9454629.14405693,7651735.97043839,0
9454629.14405693,7651730.97043839,0
9454629.14405693,7651725.97043839,0
9454629.14405693,7651720.97043839,0
9454629.14405693,7651715.97043839,0
9454629.14405693,7651710.97043839,0
9454629.14405693,7651705.97043839,0
9454629.14405693,7651700.97043839,0
9454629.14405693,7651695.97043839,0
9454629.14405693,7651690.97043839,0
9454629.14405693,7651685.97043839,0
9454629.14405693,7651680.97043839,0
